AF100-12_25	AF100-12_25	Ascomycota
AF100-12_26	AF100-12_26	Ascomycota
AF100-12_2W	AF100-12_2W	Ascomycota
AF100-12_2	AF100-12_2	Ascomycota
AF100-12_35	AF100-12_35	Ascomycota
AF100-12_37	AF100-12_37	Ascomycota
AF100-12_38	AF100-12_38	Ascomycota
AF100-12_39	AF100-12_39	Ascomycota
AF100-12_3G	AF100-12_3G	Ascomycota
AF100-12_3	AF100-12_3	Ascomycota
AF100-12_40	AF100-12_40	Ascomycota
AF100-12_41	AF100-12_41	Ascomycota
AF100-12_42	AF100-12_42	Ascomycota
AF100-12_43	AF100-12_43	Ascomycota
AF100-12_4	AF100-12_4	Ascomycota
AF100-12_5	AF100-12_5	Ascomycota
AF100-12_7G	AF100-12_7G	Ascomycota
AF100-12_7	AF100-12_7	Ascomycota
AF100-12_8	AF100-12_8	Ascomycota
AF106-6_10	AF106-6_10	Ascomycota
AF106-6_2	AF106-6_2	Ascomycota
AF106-6_3	AF106-6_3	Ascomycota
AF106-6_4	AF106-6_4	Ascomycota
AF106-6_5	AF106-6_5	Ascomycota
AF106-6_7	AF106-6_7	Ascomycota
AF106-6_9	AF106-6_9	Ascomycota
ATCC46645	ATCC46645	Ascomycota
AZTEC_10_245	AZTEC_10_245	Ascomycota
AZTEC_11_1066	AZTEC_11_1066	Ascomycota
AZTEC_12_128	AZTEC_12_128	Ascomycota
AZTEC_13_751	AZTEC_13_751	Ascomycota
AZTEC_14_484	AZTEC_14_484	Ascomycota
AZTEC_15_181	AZTEC_15_181	Ascomycota
AZTEC_16_237	AZTEC_16_237	Ascomycota
AZTEC_17_234	AZTEC_17_234	Ascomycota
AZTEC_18_233	AZTEC_18_233	Ascomycota
AZTEC_19_231	AZTEC_19_231	Ascomycota
AZTEC_1_235	AZTEC_1_235	Ascomycota
AZTEC_20_243	AZTEC_20_243	Ascomycota
AZTEC_2_251	AZTEC_2_251	Ascomycota
AZTEC_3_226	AZTEC_3_226	Ascomycota
AZTEC_4_250	AZTEC_4_250	Ascomycota
AZTEC_5_223	AZTEC_5_223	Ascomycota
AZTEC_6_232	AZTEC_6_232	Ascomycota
AZTEC_7_225	AZTEC_7_225	Ascomycota
AZTEC_8_224	AZTEC_8_224	Ascomycota
AZTEC_9_222	AZTEC_9_222	Ascomycota
B8783_CDC-17	B8783_CDC-17	Ascomycota
B9781_CDC-19	B9781_CDC-19	Ascomycota
Corn_Silage_Outer_CA-2	Corn_Silage_Outer_CA-2	Ascomycota
W72310	W72310	Ascomycota
histone_RFP	histone_RFP	Ascomycota
AF100-12_23	AF100-12_23	Ascomycota
AF100-12_27	AF100-12_27	Ascomycota
AF100-12_32	AF100-12_32	Ascomycota
AF100-12_9	AF100-12_9	Ascomycota
DMC2_AF100-12_42	DMC2_AF100-12_42	Ascomycota
DMC2_AF100-12_9	DMC2_AF100-12_9	Ascomycota
DMC2_AF100-1_11	DMC2_AF100-1_11	Ascomycota
DMC2_AF100-1_14	DMC2_AF100-1_14	Ascomycota
DMC2_AF100-1_18	DMC2_AF100-1_18	Ascomycota
DMC2_AF100-1_20_C	DMC2_AF100-1_20_C	Ascomycota
DMC2_AF100-1_20_OE	DMC2_AF100-1_20_OE	Ascomycota
DMC2_AF100-1_24	DMC2_AF100-1_24	Ascomycota
DMC2_AF100-1_3	DMC2_AF100-1_3	Ascomycota
DMC2_AF100-1_4	DMC2_AF100-1_4	Ascomycota
DMC2_AF100-1_8	DMC2_AF100-1_8	Ascomycota
DMC2_AF100-2B	DMC2_AF100-2B	Ascomycota
DMC2_AF100-3B	DMC2_AF100-3B	Ascomycota
DMC2_AF100-4B	DMC2_AF100-4B	Ascomycota
DMC2_AF100-5B	DMC2_AF100-5B	Ascomycota
DMC2_AF100-6B	DMC2_AF100-6B	Ascomycota
DMC2_AF100-7B	DMC2_AF100-7B	Ascomycota
DMC2_AF100-8B	DMC2_AF100-8B	Ascomycota
DMC2_AF100-9B	DMC2_AF100-9B	Ascomycota
DMC2_AF1001_15	DMC2_AF1001_15	Ascomycota
